status,now_L,now_R,X0,X1,X2,X3,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,232,247
straight,0,0,128,377,229,363,-1,641,-1,641,-1,411,232,246
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,128,377,229,363,-1,641,-1,641,-1,409,230,244
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,129,377,229,364,-1,641,-1,641,-1,408,232,245
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,229,244
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,245
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,232,247
straight,0,0,128,377,229,363,-1,641,-1,641,-1,408,231,246
straight,0,0,128,377,229,364,-1,641,-1,641,-1,411,237,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,410,229,246
straight,0,0,128,377,298,364,-1,641,-1,641,-1,408,230,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,410,237,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,246
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,127,377,229,363,-1,641,-1,641,-1,409,228,481
straight,0,0,127,377,298,364,-1,641,-1,641,-1,409,229,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,228,245
straight,0,0,127,377,229,364,-1,641,-1,641,-1,411,231,244
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,231,245
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,236,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,127,377,229,363,-1,641,-1,641,-1,411,236,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,228,244
straight,0,0,127,377,229,363,-1,641,-1,641,-1,408,230,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,230,244
straight,0,0,127,377,229,364,-1,641,-1,641,-1,410,229,244
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,231,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,229,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,233,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,127,377,298,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,230,245
straight,0,0,126,377,229,363,-1,641,-1,641,-1,409,230,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,232,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,481
straight,0,0,126,377,229,363,-1,641,-1,641,-1,408,229,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,229,245
straight,0,0,126,377,305,364,-1,641,-1,641,-1,409,228,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,229,246
straight,0,0,126,377,298,364,-1,641,-1,641,-1,409,232,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,231,248
straight,0,0,127,377,229,364,-1,641,-1,641,-1,411,231,248
straight,0,0,127,377,229,363,-1,641,-1,641,-1,409,232,246
